from,to,text,where,time,movie_num,text_processed
jar jar,amidala,Yousa tinken yousa people ganna die?,INT. PALPATINES QUARTERS - SUNSET,54,1,yousa tinken yousa people ganna die
amidala,jar jar,I don't know.,INT. PALPATINES QUARTERS - SUNSET,27,1,i dont know
jar jar,amidala,"Gungans ganna get pasted too, eh?",INT. PALPATINES QUARTERS - SUNSET,54,1,gungans ganna get pasted too eh
amidala,jar jar,I hope not.,INT. PALPATINES QUARTERS - SUNSET,27,1,i hope not
jar jar,amidala,"Gungans do die'n without a fight wesa warriors. Wesa gotta grand army. Dat why you no liken us, metinks.",INT. PALPATINES QUARTERS - SUNSET,171,1,gungans do dien without a fight wesa warriors wesa gotta grand army dat why you no liken us metinks
capt. panaka,amidala,"Your Highness, Senator Palpatine has been nominated to succeed Valorum as Supreme Chancellor.",INT. PALPATINES QUARTERS - SUNSET,117,1,your highness senator palpatine has been nominated to succeed valorum as supreme chancellor
palpatine,amidala,"A surprise, to be sure, but a welcome one. I promise, Your Majesty, if I am elected, I will bring democracy back to the Republic. I will put an end to corruption.",INT. PALPATINES QUARTERS - SUNSET,288,1,a surprise to be sure but a welcome one i promise your majesty if i am elected i will bring democracy back to the republic i will put an end to corruption
amidala,capt. panaka,Who else can be nominated?,INT. PALPATINES QUARTERS - SUNSET,45,1,who else can be nominated
capt. panaka,amidala,Bail Antilles of Alderaan and Ainlee Teem of Malastare.,INT. PALPATINES QUARTERS - SUNSET,81,1,bail antilles of alderaan and ainlee teem of malastare
palpatine,amidala,"I feel confident our ""situation"" will create a strong sympaphy vote for us I will be Chancellor, I promise you.",INT. PALPATINES QUARTERS - SUNSET,180,1,i feel confident our situation will create a strong sympaphy vote for us i will be chancellor i promise you
amidala,palpatine,"I fear by the time you have control of the bureaucrats, Senator, there will be nothing left of our cities, our people, our way of life",INT. PALPATINES QUARTERS - SUNSET,234,1,i fear by the time you have control of the bureaucrats senator there will be nothing left of our cities our people our way of life
palpatine,amidala,"I understand your concern, Your Majesty; unfortunately, the Federation has possession of our planet. The law is in their favor.",INT. PALPATINES QUARTERS - SUNSET,180,1,i understand your concern your majesty unfortunately the federation has possession of our planet the law is in their favor
amidala,palpatine,"With the Senate in transition, there is nothing more I can do here Senator, this is your arena. I feel I must return to mine. I have decided to go back to Naboo.",INT. PALPATINES QUARTERS - SUNSET,297,1,with the senate in transition there is nothing more i can do here senator this is your arena i feel i must return to mine i have decided to go back to naboo
palpatine,amidala,"Go back! But, Your Majesty, be realistic! You would be in danger. They will force you to sign the treaty.",INT. PALPATINES QUARTERS - SUNSET,180,1,go back but your majesty be realistic you would be in danger they will force you to sign the treaty
amidala,palpatine,"I will sign no treaty, Senator. My fate will be no different from that of our people. Captain!",INT. PALPATINES QUARTERS - SUNSET,162,1,i will sign no treaty senator my fate will be no different from that of our people captain
capt. panaka,amidala,"Yes, Your Highness?",INT. PALPATINES QUARTERS - SUNSET,27,1,yes your highness
amidala,capt. panaka,Ready my ship!,INT. PALPATINES QUARTERS - SUNSET,27,1,ready my ship
palpatine,amidala,"Please, Your Majesty, stay here where it's safe.",INT. PALPATINES QUARTERS - SUNSET,72,1,please your majesty stay here where its safe
amidala,palpatine,"No place is safe, if the Senate doesn't condemn this invasion. It is clear to me now that the Republic no longer functions as a democracy. If you win the election, Senator, I know you will do everything possible to stop the Federation. I pray you will bring sanity and compassion back to the Senate.",INT. PALPATINES QUARTERS - SUNSET,495,1,no place is safe if the senate doesnt condemn this invasion it is clear to me now that the republic no longer functions as a democracy if you win the election senator i know you will do everything possible to stop the federation i pray you will bring sanity and compassion back to the senate
ki-adi,qui-gon,The Force is strong with him.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,54,1,the force is strong with him
qui-gon,ki-adi,"He's to be trained, then.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,45,1,hes to be trained then
mace windu,qui-gon,No. He will not be trained.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,54,1,no he will not be trained
qui-gon,mace windu,No?!,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,9,1,no
mace windu,qui-gon,He is too old. There is already too much anger in him.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,108,1,he is too old there is already too much anger in him
qui-gon,mace windu,He is the chosen one you must see it.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,81,1,he is the chosen one you must see it
yoda,qui-gon,"Clouded, this boy's future is. Masked by his youth.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,81,1,clouded this boys future is masked by his youth
qui-gon,yoda,"I will trin him, then. I take Anakin as my Padawan learner.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,108,1,i will trin him then i take anakin as my padawan learner
yoda,qui-gon,"An apprentice, you have, Qui-Gon. Impossible, to take on a second.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,99,1,an apprentice you have quigon impossible to take on a second
mace windu,qui-gon,We forbid it.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,27,1,we forbid it
qui-gon,mace iwndu,Obi-Wan is ready,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,27,1,obiwan is ready
obi-wan,mace windu,Iam ready to face the trials.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,54,1,iam ready to face the trials
yoda,obi-wan,"Ready so early, are you? What know you of ready?",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,90,1,ready so early are you what know you of ready
qui-gon,yoda,"Headstrong and he has much to learn about the living Force, but he is capabe. There is little more he will learn from me.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,216,1,headstrong and he has much to learn about the living force but he is capabe there is little more he will learn from me
yoda,qui-gon,Young Skywalker's fate will be decided later.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,63,1,young skywalkers fate will be decided later
mace windu,qui-gon,Now is not the time for this. The senate is voting for a new supreme chancellor and Queen Amidala is returning home which puts pressure on the Federation and could widen the confrontation.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,297,1,now is not the time for this the senate is voting for a new supreme chancellor and queen amidala is returning home which puts pressure on the federation and could widen the confrontation
ki-adi,mace windu,And draw out the queen's attacker.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,54,1,and draw out the queens attacker
mace windu,qui-gon,Go with the queen to Naboo and discover the identity of this dark warrior. This is the clue we need to unravel the mystery of the Sith.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,243,1,go with the queen to naboo and discover the identity of this dark warrior this is the clue we need to unravel the mystery of the sith
yoda,mace windu,May the Force be with you.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,54,1,may the force be with you
obi-wan,qui-gon,"It is not disrespect, Master, it is the truth.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,81,1,it is not disrespect master it is the truth
qui-gon,obi-wan,From your point of view,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,45,1,from your point of view
obi-wan,qui-gon,The boy is dangerous they all sense it. Why can't you?,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,99,1,the boy is dangerous they all sense it why cant you
qui-gon,obi-wan,"His fate is uncertain, not dangerous. The Council will decide Anakin's future that should be enough for you. Now get on board!",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,198,1,his fate is uncertain not dangerous the council will decide anakins future that should be enough for you now get on board
artoo,anakin,beeps,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,9,1,beeps
anakin,qui-gon,"Master Qui-Gon, sir, I do not wish to be a problem.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,99,1,master quigon sir i do not wish to be a problem
qui-gon,anakin,"You won't be, Annie I'm not allowed to train you, so I want you to watch me and be mindful always remember, your focus determines your reality. Stay close to me and you will be safe.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,324,1,you wont be annie im not allowed to train you so i want you to watch me and be mindful always remember your focus determines your reality stay close to me and you will be safe
anakin,qui-gon,"Master, sir I heard Yoda talking about midi-chlorians.I've been wondering. What are midi-chlorians?",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,126,1,master sir i heard yoda talking about midichloriansive been wondering what are midichlorians
qui-gon,anakin,Midi-chlorians are a microcopic lifeform that reside within all living cells and communicates with the Force.,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,144,1,midichlorians are a microcopic lifeform that reside within all living cells and communicates with the force
anakin,qui-gon,They live inside of me?,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,45,1,they live inside of me
qui-gon,anakin,In your cells. We are symbionts with the midi-chlorians.,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,81,1,in your cells we are symbionts with the midichlorians
anakin,qui-gon,Symbionts?,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,9,1,symbionts
qui-gon,anakin,"Life forms living together for mutual advantage. Without the midi-chlorians, life could not exist, and we would have no knowledge of the Force. They continually speak to you, telling you the will of the Force. When you learn to quiet your mind, you will hear them speaking to you.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,441,1,life forms living together for mutual advantage without the midichlorians life could not exist and we would have no knowledge of the force they continually speak to you telling you the will of the force when you learn to quiet your mind you will hear them speaking to you
anakin,qui-gon,I don't understand.,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,27,1,i dont understand
qui-gon,anakin,"With time and training, Annie you will.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,63,1,with time and training annie you will
qui-gon,amidala,"Your Highness, it is our pleasure to continue to serve and protect you.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,117,1,your highness it is our pleasure to continue to serve and protect you
amidala,qui-gon,I welcome your help. Senator Palpatine fears the Federation means to destroy me.,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,117,1,i welcome your help senator palpatine fears the federation means to destroy me
qui-gon,amidala,"I promise you, I will not let that happen.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,81,1,i promise you i will not let that happen
jar jar,anakin,Wesa goen home!,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,27,1,wesa goen home
anakin,artoo,"Come on, R2.",EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,27,1,come on r
artoo,anakin,beeps,EXT. CORUSCANT - SENATE LANDING PLATFORM - NIGHT,9,1,beeps
darth sidious,nute,"Viceroy, is the planet secure?",INT. NABOO PALACE - THRONE ROOM - THEED - NIGHT,45,1,viceroy is the planet secure
nute,darth sidious,"Yes, my Lord, we have taken over the last pockets of primitive life forms. We are in complete control of the planet now.",INT. NABOO PALACE - THRONE ROOM - THEED - NIGHT,207,1,yes my lord we have taken over the last pockets of primitive life forms we are in complete control of the planet now
darth sidious,nute,"Good. I will see to it that in the Senate, things stay as they are. I am sending Darth Maul to join you. He will deal with the Jedi.",INT. NABOO PALACE - THRONE ROOM - THEED - NIGHT,261,1,good i will see to it that in the senate things stay as they are i am sending darth maul to join you he will deal with the jedi
nute,darth sidious,"Yes, my Lord.",INT. NABOO PALACE - THRONE ROOM - THEED - NIGHT,27,1,yes my lord
rune,nute,A Sith lord here with us?!,INT. NABOO PALACE - THRONE ROOM - THEED - NIGHT,54,1,a sith lord here with us
ric olie,anakin: the forward stabalizer.,,INT. SPACE - NABOO SPACECRAFT COCKPIT,0,1,
anakin,ric olie,And those control the pitch?,INT. SPACE - NABOO SPACECRAFT COCKPIT,45,1,and those control the pitch
ric olie,anakin,You catch on pretty quick.,INT. SPACE - NABOO SPACECRAFT COCKPIT,45,1,you catch on pretty quick
capt. panaka,amidala,"The moment we land the Federation will arrest you, and force you to sign the treaty.",INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,144,1,the moment we land the federation will arrest you and force you to sign the treaty
qui-gon,amidala,I agree I'm not sure what you hope to accomplish by this.,INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,108,1,i agree im not sure what you hope to accomplish by this
amidala,qui-gon,I'm going to take back what's ours.,INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,63,1,im going to take back whats ours
capt. panaka,amidala,"There are only twelve of us, Your Highness we have no army.",INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,108,1,there are only twelve of us your highness we have no army
qui-gon,amidala,"I cannot fight a war for you, Your Highness, only protect you.",INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,108,1,i cannot fight a war for you your highness only protect you
amidala,jar jar,Jar Jar Binks!,INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,27,1,jar jar binks
jar jar,amidala,"Mesa, Your Highness?",INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,27,1,mesa your highness
amidala,jar jar,Yes. I need your help.,INT. NABOO SPACECRAFT - QUEEN'S CHAMBERS,45,1,yes i need your help
ric olie,capt. panaka,I have one battleship on my scope.,INT. NABOO CRUISER COCKPIT - DAY,63,1,i have one battleship on my scope
obi-wan,capt. panaka,A droid control ship.,INT. NABOO CRUISER COCKPIT - DAY,36,1,a droid control ship
capt. panaka,obi-wan,They've probably spotted us.,INT. NABOO CRUISER COCKPIT - DAY,36,1,theyve probably spotted us
obi-wan,capt. panaka,We haven't much time.,INT. NABOO CRUISER COCKPIT - DAY,36,1,we havent much time
obi-wan,qui-gon,"Jar Jar is on his way to the Gungan city, Master.",EXT. NABOO SWAMP - DAY,99,1,jar jar is on his way to the gungan city master
qui-gon,obi-wan,Good.,EXT. NABOO SWAMP - DAY,9,1,good
obi-wan,qui-gon,Do you think the Queen's idea will work?,EXT. NABOO SWAMP - DAY,72,1,do you think the queens idea will work
qui-gon,obi-wan,"The Gungans will not easily be swayed, and we cannot use our power to help her.",EXT. NABOO SWAMP - DAY,144,1,the gungans will not easily be swayed and we cannot use our power to help her
obi-wan,qui-gon,"I'm I'm sorry for my behavior, Master. It is not my place to disagree with you about the boy. I am grateful you think I am ready for the trials.",EXT. NABOO SWAMP - DAY,270,1,im im sorry for my behavior master it is not my place to disagree with you about the boy i am grateful you think i am ready for the trials
qui-gon,obi-wan,"You have been a good apprentice. You are much wiser than Iam, Obi-Wan. I foresee you will become a great Jedi Knight.",EXT. NABOO SWAMP - DAY,198,1,you have been a good apprentice you are much wiser than iam obiwan i foresee you will become a great jedi knight
jar jar,qui-gon,"Dare-sa nobody dare. All gone. Some kinda fight, I tink. Sorry, no Gungas no Gungas.",EXT. NABOO SWAMP LAKE - DAY,135,1,daresa nobody dare all gone some kinda fight i tink sorry no gungas no gungas
obi-wan,qui-gon,Do you think they have been taken to camps?,EXT. NABOO SWAMP LAKE - DAY,81,1,do you think they have been taken to camps
capt. panaka,qui-gon,More likely they were wiped out.,EXT. NABOO SWAMP LAKE - DAY,54,1,more likely they were wiped out
jar jar,qui-gon,"No mesa no tink so. Gungan hiden. When in trouble, go to sacred place. Mackineeks no find them dare.",EXT. NABOO SWAMP LAKE - DAY,171,1,no mesa no tink so gungan hiden when in trouble go to sacred place mackineeks no find them dare
qui-gon,jar jar,Do you know where they are?,EXT. NABOO SWAMP LAKE - DAY,54,1,do you know where they are
jar jar,boss nass,"Heyo dadee Big Boss Nass, Your Honor.",EXT. NABOO SACRED TEMPLE RUINS - DAY,63,1,heyo dadee big boss nass your honor
boss nass,jar jar,Jar Jar. Who's da uss-en others?,EXT. NABOO SACRED TEMPLE RUINS - DAY,54,1,jar jar whos da ussen others
amidala,boss nass,I am Queen Amidala of the Naboo I come before you in peace.,EXT. NABOO SACRED TEMPLE RUINS - DAY,117,1,i am queen amidala of the naboo i come before you in peace
boss nass,amidala,"Naboo biggen. Yousa bringen da Mackineeks Dya busten uss-enomm. Yousa all bombad. Yousa all die'n, mesa tink.",EXT. NABOO SACRED TEMPLE RUINS - DAY,153,1,naboo biggen yousa bringen da mackineeks dya busten ussenomm yousa all bombad yousa all dien mesa tink
amidala,boss nass,We have searched you out because we wish to form an alliance.,EXT. NABOO SACRED TEMPLE RUINS - DAY,108,1,we have searched you out because we wish to form an alliance
padme,boss nass,Your Honor,EXT. NABOO SACRED TEMPLE RUINS - DAY,18,1,your honor
boss nass,padme,Whosa dis?,EXT. NABOO SACRED TEMPLE RUINS - DAY,18,1,whosa dis
padme,boss nass,"I am Queen Amidala. This is my decoy my protection my loyal bodyguard. I am sorry for my deception, but under the circumstances it has become necessary to protect myself. Although we do not always agree, Your Honor, our two great societies have always lived in peace until now. The Trade Federation has destroyed all that we have worked so hard to build. You are in hiding, my people are in camps. If we do not act quickly, all will be lost forever I ask you to help us no, I beg you to help us. We are your humble servants our fate is in your hands.",EXT. NABOO SACRED TEMPLE RUINS - DAY,963,1,i am queen amidala this is my decoy my protection my loyal bodyguard i am sorry for my deception but under the circumstances it has become necessary to protect myself although we do not always agree your honor our two great societies have always lived in peace until now the trade federation has destroyed all that we have worked so hard to build you are in hiding my people are in camps if we do not act quickly all will be lost forever i ask you to help us no i beg you to help us we are your humble servants our fate is in your hands
boss nass,padme,Yousa no tinken yousa greater den da Gungans Mesa like dis. Maybe wesa bein friends.,EXT. NABOO SACRED TEMPLE RUINS - DAY,135,1,yousa no tinken yousa greater den da gungans mesa like dis maybe wesa bein friends
nute,darth sidious,"we've sent out patrols. We've already located their starship in the swamp It won't be long, My Lord.",INT. NABOO PALACE - THRONE ROOM - DAY,162,1,weve sent out patrols weve already located their starship in the swamp it wont be long my lord
darth sidious,nute,"This is an unexpected move for her. It's too aggresive Lord Maul, be mindful.",INT. NABOO PALACE - THRONE ROOM - DAY,126,1,this is an unexpected move for her its too aggresive lord maul be mindful
darth sidious,darth maul,Be patient Let them make the first move.,INT. NABOO PALACE - THRONE ROOM - DAY,72,1,be patient let them make the first move
darth maul,darth sidious,"Yes, my Master.",INT. NABOO PALACE - THRONE ROOM - DAY,27,1,yes my master
gungan lookout,anakin,Daza comen!,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,18,1,daza comen
anakin,padme,All right. They're here!,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,36,1,all right theyre here
boss nass,jar jar,Yousa doen grand. Jar Jar bringen da Naboo together.,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,81,1,yousa doen grand jar jar bringen da naboo together
jar jar,boss nass,"Oh, no, no, no",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,36,1,oh no no no
boss nass,jar jar,"So, wesa maken yousa Bombad General.",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,54,1,so wesa maken yousa bombad general
jar jar,boss nass,"General?! Oh, no",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,27,1,general oh no
padme,capt. panaka,What is the situation?,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,36,1,what is the situation
capt. panaka,padme,"Almost everyone's in camps. A few hundred police and guards have formed an underground movement. I brought as many of the keaders as I could. The Federation Army's also much larger than we thought, and much stronger. Your Highness, this is a battle I do not think we can win.",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,450,1,almost everyones in camps a few hundred police and guards have formed an underground movement i brought as many of the keaders as i could the federation armys also much larger than we thought and much stronger your highness this is a battle i do not think we can win
padme,capr. panaka,"The battle is a diversion. The Gungans must draw the Droid Army away from the cities. We can enter the city using the secret passages on the waterfall side. Once we get to the main entrance, Captain Panaka will create a diversion, so that we can enter the palace and capture the Viceroy. Without the Viceroy, they will be lost and confused. What do you think, Master Jedi?",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,612,1,the battle is a diversion the gungans must draw the droid army away from the cities we can enter the city using the secret passages on the waterfall side once we get to the main entrance captain panaka will create a diversion so that we can enter the palace and capture the viceroy without the viceroy they will be lost and confused what do you think master jedi
qui-gon,padme,The Viceroy will be well guarded.,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,54,1,the viceroy will be well guarded
capt. panaka,padme,"The difficulty's getting into the throne room. Once we're inside, we shouldn't have a problem.",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,135,1,the difficultys getting into the throne room once were inside we shouldnt have a problem
qui-gon,boss nass,There is a possibility with this diversion many Gungans will be killed.,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,108,1,there is a possibility with this diversion many gungans will be killed
boss nass,qui-gon,Wesa ready to do are-sa part.,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,54,1,wesa ready to do aresa part
padme,qui-gon,"We have a plan which should immobilize the Droid Army. We will send what pilots we have to knock out the Droid control ship which is orbiting the planet. If we can get past their rayshields, we can sever communication and their droids will be helpless.",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,414,1,we have a plan which should immobilize the droid army we will send what pilots we have to knock out the droid control ship which is orbiting the planet if we can get past their rayshields we can sever communication and their droids will be helpless
qui-gon,padme,"A well-conceived plan. However, there's great risk. The weapons on your fighters may not penetrate the shields on the control ship.",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,189,1,a wellconceived plan however theres great risk the weapons on your fighters may not penetrate the shields on the control ship
obi-wan,padme,"And there's an even bigger danger. If the Vicroy escapes, Your Highness, he will return with another droid army.",EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,171,1,and theres an even bigger danger if the vicroy escapes your highness he will return with another droid army
padme,obi-wan,That is why we must not fail to get to the Viceroy. Everything depends on it.,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,144,1,that is why we must not fail to get to the viceroy everything depends on it
artoo,padme,beeps,EXT. NABOO EDGE OF SWAMP/ GRASS PLAINS - DAY,9,1,beeps
darth sidious,nute,she is more foolish than I thought.,INT. THEED - PALACE - THRONE ROOM - DAY,63,1,she is more foolish than i thought
nute,darth sidious,We are sending all available troops to meet this army of hers assembling near the swamp. It appears to be made up of primitives. We do not expect much resistance.,INT. THEED - PALACE - THRONE ROOM - DAY,270,1,we are sending all available troops to meet this army of hers assembling near the swamp it appears to be made up of primitives we do not expect much resistance
nute,darth sidious,"I have your approval to proceed then, My Lord.",INT. THEED - PALACE - THRONE ROOM - DAY,81,1,i have your approval to proceed then my lord
darth sidious,nute,Proceed. Wipe them put all of them.,INT. THEED - PALACE - THRONE ROOM - DAY,63,1,proceed wipe them put all of them
general ceel,soldats,Halt! Energize the shields.,INT. NABOO SWAMP LAKE - DAY,36,1,halt energize the shields
qui-gon,anakin,"Once we get inside, Annie, you find a safe placeto hide and stay there.",EXT. THEED - CENTRAL PLAZA - DAY,126,1,once we get inside annie you find a safe placeto hide and stay there
anakin,qui-gon,Sure.,EXT. THEED - CENTRAL PLAZA - DAY,9,1,sure
qui-gon,anakin,And stay there!,EXT. THEED - CENTRAL PLAZA - DAY,27,1,and stay there
nute,rune,I thought the battle was going to take place far from here this is too close!,INT. THEED - PALACE THRONE ROOM - DAY,144,1,i thought the battle was going to take place far from here this is too close
nute,oom-9,Activate the droids,INT. THEED - PALACE THRONE ROOM - DAY,27,1,activate the droids
oom-9,nute,"Yes, sir.",INT. THEED - PALACE THRONE ROOM - DAY,18,1,yes sir
padme,pilots,Get to your ships!,INT. THEED - CENTRAL HANGER - DAY,36,1,get to your ships
qui-gon,anakin,"Ani, find cover.",INT. THEED - CENTRAL HANGER - DAY,27,1,ani find cover
artoo,anakin,whistles,INT. THEED - CENTRAL HANGER - DAY,9,1,whistles
anakin,artoo,Hey! Wait for me.,INT. THEED - CENTRAL HANGER - DAY,36,1,hey wait for me
artoo,anakin,whistles,INT. THEED - CENTRAL HANGER - DAY,9,1,whistles
padme,capt. panaka,My guess is the Viceroy is in the throne room.,INT. THEED - CENTRAL HANGER - DAY,90,1,my guess is the viceroy is in the throne room
capt. panaka,soldats,"Red group! Blue group! Everybody, this way!",INT. THEED - CENTRAL HANGER - DAY,63,1,red group blue group everybody this way
anakin,qui-gon,"Hey, wait for me!",INT. THEED - CENTRAL HANGER - DAY,36,1,hey wait for me
qui-gon,anakin,"No, Annie, you stay there. Stay right where you are.",INT. THEED - CENTRAL HANGER - DAY,90,1,no annie you stay there stay right where you are
anakin,qui-gon,"But, I",INT. THEED - CENTRAL HANGER - DAY,18,1,but i
qui-gon,anakin,Stay in that cockpit.,INT. THEED - CENTRAL HANGER - DAY,36,1,stay in that cockpit
qui-gon,amidala,We'll handle this.,INT. THEED - CENTRAL HANGER - DAY,27,1,well handle this
artoo,anakin,beeps,INT. THEED - CENTRAL HANGER - DAY,9,1,beeps
anakin,artoo,"We gotta do something, ARTOO.",INT. THEED - CENTRAL HANGER - DAY,45,1,we gotta do something artoo
artoo,anakin,beeps,INT. THEED - CENTRAL HANGER - DAY,9,1,beeps
anakin,artoo,"Where's the trigger? Oops, wrong one Maybe this one",INT. THEED - CENTRAL HANGER - DAY,81,1,wheres the trigger oops wrong one maybe this one
artoo,anakin,beeps,INT. THEED - CENTRAL HANGER - DAY,9,1,beeps
anakin,artoo,It's on automatic pilot. Try to override it.,INT. THEED - CENTRAL HANGER - DAY,72,1,its on automatic pilot try to override it
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,artoo,"Look, there they are ! There they are! That's where the autopilot is taking us.",INT. NABOO STARFIGHTER - COCKPIT - SPACE,135,1,look there they are  there they are thats where the autopilot is taking us
padme,catp. panaka,"We don't have time for this, Captain.",INT. THEED - PALACE - HALLWAY - DAY,63,1,we dont have time for this captain
capt. panaka,apdme,GO! Ascension guns!,INT. THEED - PALACE - HALLWAY - DAY,27,1,go ascension guns
anakin,artoo,"Whoo, boy! This is tense!",INT. NABOO STARFIGHTER - COCKPIT - SPACE,45,1,whoo boy this is tense
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,artoo,": Oops! ARTOO, get us off Autopilot! It's gonna get us both killed.",INT. NABOO STARFIGHTER - COCKPIT - SPACE,117,1, oops artoo get us off autopilot its gonna get us both killed
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,x_x,"Yes I've got control. You did it, ARTOO!",INT. NABOO STARFIGHTER - COCKPIT - SPACE,72,1,yes ive got control you did it artoo
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,artoo,Go back!?! Qui-Gon told me to stay in this cockpit and that's what I'm gonna do. Now c'mon!,INT. NABOO STARFIGHTER - COCKPIT - SPACE,162,1,go back quigon told me to stay in this cockpit and thats what im gonna do now cmon
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,artoo,"I'll try spinning, that's a good trick.",INT. NABOO STARFIGHTER - COCKPIT - SPACE,63,1,ill try spinning thats a good trick
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,artoo,I know we're in trouble! Hang on! The way out of this mess is the way we got into it.,INT. NABOO STARFIGHTER - COCKPIT - SPACE,180,1,i know were in trouble hang on the way out of this mess is the way we got into it
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
anakin,artoo,Which one? This one?,INT. NABOO STARFIGHTER - COCKPIT - SPACE,36,1,which one this one
padme,capt. panaka,Throw down your weapons. They win this round.,INT. THEED - PALACE - HALLWAY TO THRONE ROOM,72,1,throw down your weapons they win this round
artoo,anakin,beeps,INT. NABOO STARFIGHTER - COCKPIT - SPACE,9,1,beeps
