name,type,species,affiliation,gender,pronouns,hair,skin,homeworld,death,location,eyes,class
Unidentified Crimson Dawn house,House,,Crimson Dawn,,,,,,,Thorum,,
Unidentified Crimson Dawn transport,Transport,,Crimson Dawn,,,,,,,,,
Unidentified cruiser (Pijal),Cruiser,,Pijali monarchy,,,,,,,,,
Unidentified dark sculpture,Sculpture,,Sith,,,,,,,,,
Unidentified Dee'ja Peak theatre,Theater,,,,,,,,,"Dee'ja Peak, Naboo",,
Unidentified depot (Sergia),Depot,,,,,,,,,Sergia,,
Unidentified DH-Omni Support Vessel (Agamar),Supply ship,,Confederacy of Independent Systems,,,,,,,,,
Unidentified district,District,,,,,,,,,"Canto Bight,",,
Unidentified dive,Dive,,,,,,,,,Chibbier,,
Unidentified division,Infantry,,Galactic Empire,,,,,,,Pabu,,
Unidentified docking hangar,Hangar,,,,,,,,,"Kennerla's main port city, Kennerla",,
Unidentified dreadnought,Dreadnought,,Galactic Empire,,,,,,,,,
Unidentified Dreadnought-class heavy cruiser,Heavy cruiser,,Galactic Republic,,,,,,,,,
Unidentified drink,Beverage,,Skull Ridge Mountain Hotel & Spa,,,,,,,,,
Unidentified droid battalion (Anaxes),Infantry,,Confederacy of Independent Systems,,,,,,,"Sector One, Anaxes",,
Unidentified droid battalion (Kaller),"Infantry, armored",,Confederacy of Independent Systems,,,,,,,Kaller,,
Unidentified droid patrol,Patrol,,Confederacy of Independent Systems,,,,,,,Ryloth,,
Unidentified droid repair shop,Droid repair shop,,Silvo's pirates,,,,,,,Borgo Prime,,
Unidentified Eirami military command cruiser,Cruiser,,Eiram government,,,,,,,,,
Unidentified elevator,Turbolift,,First Order,,,,,,,Supremacy,,
Unidentified elevator (D-Sector),Turbolift,,First Order,,,,,,,"D-Sector,",,
Unidentified elite squad,Special forces infantry,,Galactic Empire,,,,,,,,,
Unidentified elite squadron,Special forces,,Galactic Empire,,,,,,,Unidentified sector,,
Unidentified elite squadron (TIE Advanced x1),Special forces,,Galactic Empire,,,,,,,,,
Unidentified excursion liner,Luxury liner,,Chiss Ascendancy,,,,,,,,,
Unidentified factory (Mynos III),Factory,,Nihil,,,,,,,"Faydra, Mynos III",,
Unidentified farmhold,Farmhold,,,,,,,,,Hebekrr Minor,,
Unidentified fighter,Fighter,,San Tekka clan,,,,,,,,,
Unidentified floating gunnery platform,Gunnery platform,,Galactic Empire,,,,,,,,,
Unidentified forest (Serenno),Forest,,,,,,,,,Serenno,,
Unidentified forest (Valo),Forest,,,,,,,,,Valo,,
Unidentified forest village,Village,,,,,,,,,Tenoo,,
Unidentified freighter (Yrica Quell),Freighter,,New Republic,,,,,,,,,
Unidentified fuel depot,Fuel depot,,Galactic Empire,,,,,,,Beroq 4,,
Unidentified Galactic Empire prison,Prison,,Galactic Empire,,,,,,,,,
Unidentified Galactic Republic prison,Prison,,Galactic Republic,,,,,,,Occlusion Zone,,
Unidentified Galactic Republic regiment,Infantry,,Galactic Republic,,,,,,,Teth,,
Unidentified garrison (Sector Four),Infantry,,Gideon's Imperial remnant,,,,,,,,,
Unidentified giant Tenoo tree,Tenoo tree,,,,,,,,,Tenoo,,
Unidentified Gozanti-class Assault Carrier,Gozanti-class Assault Carrier,,Gideon's Imperial remnant,,,,,,,,,
Unidentified Grysk task force,Task force,,Grysk Hegemony,,,,,,,,,
Unidentified Haven-class medical station,Haven-class medical station,,Galactic Republic,,,,,,,,,
Unidentified heavy freighter,Heavy freighter,,Resistance,,,,,,,,,
Unidentified hotel (Galator III),Hotel,,,,,,,,,Galator III,,
Unidentified hovertank model,Hovertank,,Hattan,,,,,,,,,
Unidentified Hutt trawler,Trawler,,Hutt Clan,,,,,,,,,
Unidentified Immobilizer 418 cruiser,Cruiser,,Galactic Empire,,,,,,,,,
Unidentified Imperial armada,Armada,,Galactic Empire,,,,,,,,,
Unidentified Imperial armored vehicle,Repulsorcraft,,Galactic Empire,,,,,,,,,
Unidentified Imperial base (Ansion),Military base,,Galactic Empire,,,,,,,Ansion,,
Unidentified Imperial base (heist),Military base,,Galactic Empire,,,,,,,,,
Unidentified Imperial convoy,Convoy,,Galactic Empire,,,,,,,,,
Unidentified Imperial factory,Weapons factory,,Galactic Empire,,,,,,,,,
Unidentified Imperial heavy freighter,Heavy freighter,,Galactic Empire,,,,,,,,,
Unidentified Imperial outpost,Military outpost,,Galactic Empire,,,,,,,,,
Unidentified Imperial outpost (Karaba Foothills),Imperial Outpost,,Galactic Empire,,,,,,,"Karaba Foothills, Akiva",,
Unidentified Imperial outpost (Mount Selasa),Imperial Outpost,,Galactic Empire,,,,,,,"Mount Selasa, Akiva",,
Unidentified Imperial outpost (Myrra Valley),Imperial Outpost,,Galactic Empire,,,,,,,"Myrra Valley, Akiva",,
Unidentified Imperial repulsorcraft,Repulsorcraft,,Galactic Empire,,,,,,,,,
Unidentified Imperial transport,Transport,,Galactic Empire,,,,,,,,,
Unidentified Imperial warehouse,Warehouse,,Galactic Empire,,,,,,,E'ronoh,,
Unidentified Imperial-class Star Destroyer (smuggler),Star Destroyer,,Galactic Empire,,,,,,,,,
Unidentified Incom Corporation warehouse,Warehouse,,Incom Corporation,,,,,,,Fresia,,
Unidentified inn (Plazir-15),Inn,,,,,,,,,Plazir-15,,
Unidentified Inner Rim system fleet,Fleet,,Galactic Empire,,,,,,,Inner Rim Territories,,
Unidentified island (Cethis),Island,,,,,,,,,Cethis,,
Unidentified island (Tolis),Island,,,,,,,,,Tolis,,
Unidentified Jadeite neighborhood,Neighborhood,,,,,,,,,Coruscant,,
Unidentified Jedi airspeeder,Airspeeder,,Jedi Order,,,,,,,,,
Unidentified Jedi Chamber,Jedi Chamber,,Jedi Order,,,,,,,"Stone Spires, Koboh",,
Unidentified Jedi compass,Compass,,Jedi Order,,,,,,,,,
Unidentified Jedi tapestry,Tapestry,,Jedi Order,,,,,,,,,
Unidentified Jedi task force,Task force,,Galactic Republic,,,,,,,,,
Unidentified Jedi temple (Qi'ra),Jedi temple,,Jedi Order,,,,,,,A planet,,
Unidentified Kinnawah Key hotel,Hotel,,,,,,,,,"Kinnawah Key, Kwenn",,
Unidentified leadership academy,Academy,,,,,,,,,Alderaan,,
Unidentified library,Library,,,,,,,,,Primus Cabru,,
Unidentified lightsaber (Gallimere),Single-bladed lightsaber,,Jedi Order,,,,,,,,,
Unidentified lightsaber (Lanupa),Single-blade,,Tak Rennod's pirates,,,,,,,,,
Unidentified Longbeam cruiser,Cruiser,,Colony of Kezarat,,,,,,,,,
Unidentified Lucrehulk-class battleship (Pantora),Battleship,,Trade Federation,,,,,,,,,
Unidentified Lucrehulk-class battleship (Ryloth),Battleship,,Trade Federation,,,,,,,,,
Unidentified luxury hotel,Hotel,,,,,,,,,Coruscant,,
Unidentified luxury rainforest resort,Resort,,,,,,,,,Palagosal,,
Unidentified Mandalorian blaster rifle,Blaster rifle,,Death Watch,,,,,,,,,
Unidentified marketplace,Marketplace,,,,,,,,,An astronomical object,,
Unidentified medical frigate,Medical frigate,,Galactic Empire,,,,,,,,,
Unidentified medical observation room,Medical room,,Marda Ro's pirate group,,,,,,,Gaze Electric,,
Unidentified meditation garden,Meditation garden,,Jedi Order,,,,,,,"Jedi Temple, Coruscant",,
Unidentified mining colony (Valashar),Mining colony,,,,,,,,,Valashar,,
Unidentified minor Chiss family,Minor family,Chiss,Chiss Ascendancy,,,,,,,,,
Unidentified moisture farm,Moisture farm,,,,,,,,,Tatooine,,
Unidentified Mon Calamari aquatic vehicle,Aquatic vehicle,,Mon Calamari monarchy,,,,,,,,,
Unidentified Mon Calamari cruiser (Geist),Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
Unidentified Mon Calamari cruiser (Mon Cala),Cruiser,,Mon Calamari monarchy,,,,,,,,,
Unidentified Mon Calamari cruiser (Sullust system),Cruiser,,Alliance to Restore the Republic,,,,,,,,,
Unidentified Mon Calamari cruiser (Yavin's Hope),Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
Unidentified museum (Jedha),Museum,,,,,,,,,Jedha,,
Unidentified Naboo transport ship,Transport,,Amidalans,,,,,,,,,
Unidentified New Republic battle group,Battle group,,New Republic,,,,,,,,,
Unidentified New Republic convoy,Convoy,,New Republic,,,,,,,,,
Unidentified New Republic droid convoy,Droid-piloted convoy,,New Republic,,,,,,,Zavian Abyss,,
Unidentified New Republic medical convoy,Medical convoy,,New Republic,,,,,,,,,
Unidentified New Republic space station,Space station,,New Republic,,,,,,,,,
Unidentified New Republic squad,Squad,,New Republic,,,,,,,,,
Unidentified Nightbrother village,Village,,Nightbrothers,,,,,,,"Upper Strangled Cliffs, Dathomir",,
Unidentified Nihil Cloud (Drengir),Cloud,,Nihil,,,,,,,,,
Unidentified Nihil Cloud (Temerancé),Pirate unit,,Nihil,,,,,,,,,
Unidentified Nihil hauler,Hauler,,Nihil,,,,,,,,,
Unidentified Nihil ship,Starship,,Nihil,,,,,,,,,
Unidentified Nihil ship (Adrens),Starship,,Nihil,,,,,,,,,
Unidentified Nihil shuttle,Shuttle,,Nihil,,,,,,,,,
Unidentified Nihil team,Team,,Nihil,,,,,,,,,
Unidentified Nihil warehouse,Warehouse,,Nihil,,,,,,,Occlusion Zone,,
Unidentified noodle bar,Bar,,,,,,,,,"Pirate market, Borgo Prime",,
Unidentified Nu-class attack shuttle (Christophsis),Shuttle,,Galactic Republic,,,,,,,,,
Unidentified Nu-class attack shuttle (Coruscant),Shuttle,,Galactic Republic,,,,,,,,,
Unidentified orbiting defense platform,Space station,,Galactic Empire,,,,,,,,,
Unidentified orbiting merchant-hub station,Space station,,Garwian Unity,,,,,,,,,
Unidentified orchard (Andraven),Farm,,,,,,,,,Andraven,,
Unidentified orchard (Dorin),Orchard,,A Kel Dor orchard owner,,,,,,,Dorin,,
Unidentified outpost (Nihil),Outpost,,,,,,,,,Near Tiikae,,
Unidentified outpost (Tatooine),Outpost,,,,,,,,,Tatooine,,
Unidentified Paccosh mining station,Space station,,Paccian Governance,,,,,,,,,
Unidentified passenger starliner,Starliner,,Star Liner Travel,,,,,,,,,
Unidentified Pelta-class frigate,Frigate,,Alliance to Restore the Republic,,,,,,,,,
Unidentified pirate camp (Mirogana Valley),Camp,,,,,,,,,"Mirogana Valley, Toshara",,
Unidentified pirate starfighter (Draedan pirates),Starfighter,,Draedan pirates,,,,,,,,,
Unidentified pirate transport 1,Transport,,Captain Brutus' crew,,,,,,,,,
Unidentified pirate transport 2,Transport,,Captain Brutus' crew,,,,,,,,,
Unidentified platoon (332nd Company),Infantry,,Galactic Republic,,,,,,,,,
Unidentified platoon (Galactic Republic),Infantry/cavalry,,Galactic Republic,,,,,,,Orto Plutonia,,
Unidentified platoon (Gideon's light cruiser),Infantry,,Gideon's Imperial remnant,,,,,,,,,
Unidentified platoon (Morak),Infantry,,Morak Imperial remnants,,,,,,,Morak,,
Unidentified platoon (Nevarro Imperial base),Infantry,,Gideon's Imperial remnant,,,,,,,Nevarro,,
Unidentified platoon (Nevarro),Infantry,,Gideon's Imperial remnant,,,,,,,Nevarro,,
Unidentified podracer model,Repulsorcraft,,Hunters of the Outer Rim,,,,,,,,,
Unidentified poma-club,Club,,,,,,,,,"Quarrow, Nakadia",,
Unidentified port,Spaceport,,,,,,,,,Li'eta,,
Unidentified Presager coven,Coven,,Presagers of Hakotei,,,,,,,,,
Unidentified private landing field,Landing field,,,,,,,,,"Holy City, Jedha",,
Unidentified private spacedock,Spacedock,,,,,,,,,Hosnian Prime,,
Unidentified Providence-class carrier/destroyer (Battle of Sullust),Dreadnought,,Confederacy of Independent Systems,,,,,,,,,
Unidentified pub,Cantina,,,,,,,,,Cato Neimoidia,,
Unidentified public house,Public house,,,,,,,,,"A settlement, Dantooine",,
Unidentified public shipyard,Shipyard,,,,,,,,,"Eriadu City, Eriadu",,
Unidentified Quarren submarine,Submarine,,Mon Calamari monarchy,,,,,,,,,
Unidentified Raider-class corvette,Corvette,,Zahra's raider crew,,,,,,,,,
Unidentified ranch,Ranch,,,,,,,,,Koboh,,
Unidentified ranch (Andraven),Ranch,,,,,,,,,Andraven,,
Unidentified Rebel Alliance starfighter,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
Unidentified Rebel Alliance transport,Transport,,Alliance to Restore the Republic,,,,,,,,,
Unidentified Rebel capital ship,Capital ship,,Alliance to Restore the Republic,,,,,,,,,
Unidentified Rebel cell,Cell,,Alliance to Restore the Republic,,,,,,,,,
Unidentified rebel cell (Sullust),Rebel cell,,Alliance to Restore the Republic,,,,,,,Sullust,,
Unidentified rebel insurgency group,Insurgency group,,Alliance to Restore the Republic,,,,,,,,,
Unidentified reconnaissance vessel,Scout ship,,New Republic,,,,,,,,,
Unidentified region (watervine peach),Region,,Galactic Empire,,,,,,,Watervine peach homeworld,,
Unidentified Republic command ship,Star Destroyer,,Galactic Republic,,,,,,,,,
Unidentified Republic Defense Coalition station,Space station,,Galactic Republic,,,,,,,,,
Unidentified Republic Defense Coalition transport,Transport,,Galactic Republic,,,,,,,,,
Unidentified Republic transport 1,Transport,,Galactic Republic,,,,,,,,,
Unidentified reserve fleet,Reserve fleet,,Galactic Republic,,,,,,,,,
Unidentified river (Tenoo),River,,,,,,,,,Tenoo,,
Unidentified sacred Jedi text,Book,,Jedi Order,,,,,,,,,
Unidentified saloon,Saloon,,,,,,,,,"Mos Eisley, Tatooine",,
Unidentified sandcrawler,Sandcrawler,,Jawa tribe,,,,,,,,,
Unidentified sandtrooper regiment,Infantry,,Galactic Empire,,,,,,,Tatooine,,
Unidentified scav droid factory,Factory,,Nihil,,,,,,,"Syllain District, Coronet City, Corellia",,
Unidentified school (Birage),School,,,,,,,,,"Birage, Arli's moon",,
Unidentified scout trooper squad,Infantry,,Gideon's Imperial remnant,,,,,,,Nevarro,,
Unidentified scrapyard (At Attin),Junkyard,,,,,,,,,At Attin,,
Unidentified Separatist bunker,Bunker,,Confederacy of Independent Systems,,,,,,,"Karaba Foothills, Akiva",,
Unidentified Separatist platoon,Infantry,,Confederacy of Independent Systems,,,,,,,Anaxes,,
Unidentified Separatist supply ship,Heavy transport starship,,Confederacy of Independent Systems,,,,,,,,,
Unidentified settlement (Myrra Valley),Settlement,,,,,,,,,"Myrra Valley, Akiva",,
Unidentified settlement (Yarrum),Settlement,,,,,,,,,"Yarrum Desert, Yarrum",,
Unidentified Sheathipede-class transport shuttle (Count Dooku's frigate),Shuttle,,Confederacy of Independent Systems,,,,,,,,,
Unidentified Sheathipede-class transport shuttle (Grievous),Shuttle,,Confederacy of Independent Systems,,,,,,,,,
Unidentified shuttle (Cymoon 1),Shuttle,,Hutt Clan,,,,,,,,,
Unidentified shuttle (Sith Eternal),Shuttle,,Sith EternalFinal Order,,,,,,,,,
Unidentified Sith book (Exegol),Book,,Sith,,,,,,,,,
Unidentified Sith relic,Sith artifact,,Sith,,,,,,,,,
Unidentified Sith relief,Sith artifact,,Sith,,,,,,,,,
Unidentified soulcraft,Soulcraft,,Pijali monarchy,,,,,,,,,
Unidentified spa,Spa,,,,,,,,,Plazir-15,,
Unidentified spa (Coruscant),Spa,,,,,,,,,"Galactic City, Coruscant",,
Unidentified spacedock infirmary,Infirmary,,,,,,,,,Coruscant,,
Unidentified spaceport (Chandrila),Spaceport,,,,,,,,,Chandrila,,
Unidentified spaceport (Jafan),Spaceport,,,,,,,,,"A colony, Jafan",,
Unidentified spring,Spring,,,,,,,,,Sarumo,,
Unidentified squad (41st Elite Corps),Infantry,,Galactic Republic,,,,,,,Geonosis,,
Unidentified squad (Gideon's light cruiser),Infantry,,Gideon's Imperial remnant,,,,,,,,,
Unidentified Star Commuter 2000,Shuttle,,Resistance,,,,,,,,,
Unidentified Star Destroyer,Star Destroyer,,Galactic Empire,,,,,,,,,
Unidentified starfighter,Starfighter,,Resistance (briefly),,,,,,,,,
Unidentified starfighter (scout guards),Starfighter,,Morgan Elsbeth's forces,,,,,,,,,
Unidentified stormtrooper squad (Starros family homestead),Squad,,Galactic Empire,,,,,,,,,
Unidentified stormtrooper squad (Tython),Infantry,,Gideon's Imperial remnant,,,,,,,Gideon's light cruiser,,
Unidentified supply ship,Supply ship,,Tagge Corporation,,,,,,,,,
Unidentified swoop bike model,Repulsorcraft,,Womp Rats Club,,,,,,,,,
Unidentified tank battery,Armored,,Galactic Republic,,,,,,,Malastare,,
Unidentified tank brigade,Armored,,Galactic Republic,,,,,,,Fervse'dra asteroid belt,,
Unidentified tapcafe,Tapcafe,,,,,,,,,Lanz Carpo,,
Unidentified Tarnab colony,Colony,,,,,,,,,Sriluur,,
Unidentified tavern (Arkania),Tavern,,,,,,,,,Arkania,,
Unidentified tavern (Strop's End),Tavern,,,,,,,,,"Strop's End, Teriona",,
Unidentified tavern (Zeitooine),Tavern,,,,,,,,,Zeitooine,,
Unidentified telescopic array,Observatory,,,,,,,,,Observatory Moon,,
Unidentified temple (Deneba),Temple,,,,,,,,,Deneba,,
Unidentified temple (Glee Anselm),Temple,,,,,,,,,"District 74, Glee Anselm",,
Unidentified temple (Naratar),Temple,,,,,,,,,Naratar,,
Unidentified temple (Numidian Prime),Temple,,,,,,,,,Numidian Prime,,
Unidentified temple (Pijal),Temple,,,,,,,,,"Capital city, Pijal",,
Unidentified temple (Tehar),Temple,,,,,,,,,Tehar,,
Unidentified theater,Theater,,,,,,,,,Adelphi,,
Unidentified three-engined Mon Calamari cruiser,Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
Unidentified three-pronged Mon Calamari cruiser,Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
Unidentified tourist multiplex,Hotel,,,,,,,,,"A hub, Ryloth",,
Unidentified trading post (Rex Strata),Trading post,,,,,,,,,Rex Strata,,
Unidentified train station,Train station,,,,,,,,,Tenoo,,
Unidentified transport (Path of the Open Hand),Transport,,Path of the Open Hand,,,,,,,,,
Unidentified transport (Surat Nuat),Transport,,Surat Nuat's gang,,,,,,,,,
Unidentified transport shuttle,Shuttle,,Alliance to Restore the Republic,,,,,,,,,
Unidentified transport shuttle (Ringo Vinda),Transport shuttle,,Galactic Republic,,,,,,,,,
Unidentified Ugnaught workshop (Plazir-15),Workshop,,Plazir-15's government,,,,,,,"Peacekeeping zone, Plazir-15",,
Unidentified underground prison,Storm bunker,,City council,,,,,,,Valo,,
Unidentified urn,Urn,,Galactic Empire,,,,,,,,,
Unidentified V-wing variant,Starfighter,,Galactic Republic,,,,,,,,,
Unidentified Venator-class Star Destroyer (Clone Force 99),Star Destroyer,,Galactic Republic,,,,,,,,,
Unidentified Venator-class Star Destroyer (Rugosa),Star Destroyer,,Galactic Republic,,,,,,,,,
Unidentified Venator-class Star Destroyer (Zeffo),Star Destroyer,,Galactic Republic,,,,,,,,,
Unidentified Vorah Key nightclub,Nightclub,,,,,,,,,"Vorah Key, Kwenn",,
Unidentified vulture droid variant,Droid starfighter,,Confederacy of Independent Systems,,,,,,,,,
Unidentified warehouse (Valo),Warehouse,,Nihil,,,,,,,Valo,,
Unidentified watervine peach homeworld,Homeworld,,Galactic Empire,,,,,,,A region,,
Unidentified way station,Way station,,,,,,,,,Bardotta,,
Unidentified Western Reaches Exchange banking ship,Transport,,Western Reaches Exchange,,,,,,,,,
Unidentified windfarm (Lost Steppe),Windfarm,,,,,,,,,"The Lost Steppe, Toshara",,
Unidentified windfarm (Mirogana Valley),Windfarm,,,,,,,,,"Mirogana Valley, Toshara",,
Unidentified YT-2400 light freighter (Clan Markona),Light freighter,,Alliance to Restore the Republic,,,,,,,,,
Unidentified Zeta-class Heavy Cargo Shuttle,Shuttle,,Galactic Empire,,,,,,,,,
Uniformed Branch,Police force,,Canto Bight Police Department,,,,,,,,,
Unit Aurek,Cadet unit,,Galactic Empire,,,,,,,,,
Unit Besh,Cadet unit,,Galactic Empire,,,,,,,,,
Unit Cresh,Cadet unit,,Galactic Empire,,,,,,,,,
Unit Dorn,Cadet unit,,Galactic Empire,,,,,,,,,
Unit Esk,Cadet unit,,Galactic Empire,,,,,,,,,
Unit Five-Two night shift,Labor unit,,Galactic Empire,,,,,,,,,
Unit Five-Two-D,Labor unit,,Galactic Empire,,,,,,,,,
Unit Forn,Cadet unit,,Galactic Empire,,,,,,,,,
Unit TI-23,Special forces,,Galactic Empire,,,,,,,,,
Unit two-five,Labor unit,,Galactic Empire,,,,,,,,,
Universal port,Space-to-space station docking port,,Paccian Governance,,,,,,,,,
University of Alderaan,University,,,,,,,,,"Aldera, Alderaan",,
University of Byblos,University,,,,,,,,,Byblos,,
University of Coruscant,University,,,,,,,,,Coruscant,,
Unknown Regions Imperial remnant,Imperial Remnant,,Imperial Remnants,,,,,,,,,
Unpermitted windfishing skiff,Skiff,,,,,,,,,"The Grazing Fields, Toshara",,
Unyielding,Star Destroyer,,Galactic Empire,,,,,,,,,
Upper Foredeck Lounge,Lounge,,,,,,,,,Morenia,,
Uprising,Resistance movement,,Alliance to Restore the Republic,,,,,,,Bespin,,
Urban Guerrillas,Special forces,,Alliance to Restore the Republic,,,,,,,,,
Urch Planetary and Space Control,Planetary and space traffic control,,Tower Dimension,,,,,,,,,
Urrqal,Alcoholic beverage,,Unidentified bar,,,,,,,,,
Ursa Wren's hair clip,Clothing,,House Vizsla,,,,,,,,,
Urtya's guards,Guards,,Mon Calamari monarchy,,,,,,,Mon Cala,,
Ushar's war club,War club,,First Order,,,,,,,,,
Utapau Skyforce,Planetary defense force,,Utapaun Committee,,,,,,,Utapau,,
Utooni,Team of Jawas,,Hunters of the Outer Rim,,,,,,,,,
Uveron City security,Security force,,Uveron City,,,,,,,"Uveron City, Uveron",,
V-19 test squadron,Experimental unit,,Galactic Republic,,,,,,,,,
V-484,Freighter,,Chiss Ascendancy,,,,,,,,,
V-92 Tine Hunter,Starfighter,,Crimson Dawn,,,,,,,,,
Vader's Castle,Battlefield,,Hunters of the Outer Rim,,,,,,,"Grand Arena, Vespaara",,
Vader's shuttle (Mission to Ryloth),Shuttle,,Galactic Empire,,,,,,,,,
Vader's throne room,Throne room,,Sith,,,,,,,"Fortress Vader, Mustafar",,
Vader's wayfinder,Sith wayfinder,,Sith Order,,,,,,,,,
Vagaari pod,Pod,,Vagaari,,,,,,,,,
Vagrant's Camp,Camp,,,,,,,,,"Grazing Fields, Toshara",,
Vak art gallery,Art gallery,,Vak Combine,,,,,,,Primea,,
Vak Combine,Military junta,,Nikardun Destiny,,,,,,,,,
Vak warship,Warship,,Vak Combine,,,,,,,,,
Valco Pandion's fleet,Fleet,,Galactic Empire,,,,,,,,,
Valcyn,Cruiser,,Sith,,,,,,,,,
Valiant,Longbeam cruiser,,Galactic Republic,,,,,,,,,
Valin Hess's division,Infantry,,Galactic Empire,,,,,,,Burnin Konn,,
Valken-38 blaster rifle,Sniper rifle,,Galactic Republic,,,,,,,,,
Valkyrie 2929 (LAAT/i),Gunship,,Galactic Republic,,,,,,,,,
Vallt's government,Monarchy,,Confederacy of Independent Systems,,,,,,,,,
Valo Jedi temple,Jedi temple,,Jedi Order,,,,,,,"Lonisa City, Valo",,
Valo younglings hideout,Hideout,,Jedi Order,,,,,,,"Lonisa City Zoo, Lonisa City, Valo",,
Valor (space station),Space station,,Galactic Republic,,,,,,,,,
Valorum's shuttle,Shuttle,,Galactic Republic,,,,,,,,,
Vambrace armor,Specialized Stormtrooper armor,,Galactic Empire,,,,,,,,,
Vandor division,Infantry,,Galactic Empire,,,,,,,Vandor,,
Vanguard Axis,Criminal cartel,,Droid Gotra (loosely),,,,,,,,,
Vanguard of the Fifth Fleet,Fleet group,,Galactic Republic,,,,,,,,,
Vapetailers unit,Special forces,,Alliance to Restore the Republic,,,,,,,,,
Var-Shaa dockyard,Imperial dockyard,,Galactic Empire,,,,,,,,,
Variax shipyard,Shipyard,,Variax security,,,,,,,Variax,,
Vark Tarpalin's mansion,Mansion,,Nihil,,,,,,,"Lonisa City, Valo",,
Vark Tarpalin's office,Office,,Nihil,,,,,,,"City hall, Lonisa City, Valo",,
Varl Circuit,Podracing circuit,,,,,,,,,Moons of Varl,,
Vault security contingent,Security,,Galactic Empire,,,,,,,"Imperial security complex, Scarif",,
Vector,Cruiser,,Galactic Empire,,,,,,,,,
Vectored cannon,Laser cannon,,Alliance to Restore the Republic,,,,,,,,,
Veelo docks,Refinery,,,,,,,,,Veelo,,
Vehement,Star Destroyer,,Galactic Empire,,,,,,,,,
Veiled Sorority,Pirate group,,,,,,,,,Outer Rim Territories,,
Vel Sartha's camp,Camp,,A rebel infiltration team,,,,,,,Aldhani,,
Velko Jahen's platoon,Platoon,,Gagic Alliance,,,,,,,,,
Vellus,Transport,,Alliance to Restore the Republic,,,,,,,,,
Venator I-class Star Destroyer,Star Destroyer,,Galactic Republic,,,,,,,,,
Venator II-class Star Destroyer,Star Destroyer,,Galactic Republic,,,,,,,,,
Vence spire,Tower,,,,,,,,,"Aldera, Alderaan",,
Vengeance,Star Destroyer,,Galactic Empire,,,,,,,,,
Venisa Doza's X-wing,Starfighter,,Resistance,,,,,,,,,
Venisa's helmet,Flight helmet,,Resistance,,,,,,,,,
Vensenor,Star Destroyer,,Galactic Empire,,,,,,,,,
Venture (freighter),Freighter,,Gozetta,,,,,,,,,
Venturous,Man-of-war,,Chiss Ascendancy,,,,,,,,,
Vera Beroya's mythosaur axe,Mythosaur axe,,Clan Awaud,,,,,,,,,
Verazeen stones,Cuboid-shaped dice,,Cabarka Union,,,,,,,,,
Verdigris Hills,Hills,,,,,,,,,Elphrona,,
Veris Hydan's guard,Special forces,,Galactic Empire,,,,,,,Lothal,,
Vermin-Thrax,Bulk freighter,,Garnac's hunting guild,,,,,,,,,
Vernestra Rwoh's purple-bladed lightsaber,Combination single-bladed lightsaber and lightwhip,,Jedi Order,,,,,,,,,
Verzan garrison,Garrison,,Galactic Empire,,,,,,,Verzan,,
Vespaara Row,Civilian district,,Hunters of the Outer Rim,,,,,,,Vespaara,,
Vespaara Starport,Spaceport,,,,,,,,,Vespaara,,
Vessel,Transport,,Byne Guild,,,,,,,,,
Veteran Blaster,Heavy blaster pistol,,Alliance to Restore the Republic,,,,,,,,,
Veteran Services,Department,,Galactic Empire,,,,,,,,,
Vetna Mooncrest's lightsaber,Single-blade,,Jedi Order,,,,,,,,,
Vi Moradi's baton,Tactical baton,,Resistance,,,,,,,,,
Vibro-arbir blade,Melee weapon,,Shadow Council,,,,,,,,,
Vibro-lance,Melee weapon,,Jabba Desilijic Tiure's criminal empire,,,,,,,,,
Vibro-scythe,Vibro weapon,,Knights of Ren,,,,,,,,,
Vibro-star,Vibro weapon,,Nihil,,,,,,,,,
Vibro-stiletto,Vibro weapon,,Fett gotra,,,,,,,,,
Vibro-voulge,Melee weapon,,First Order,,,,,,,,,
Vibrobayonet,Vibro weapon,,Galactic Republic,,,,,,,,,
Vibroblade Brigade,Mercenary unit,,Corporate Alliance (hired),,,,,,,,,
Vibroblades (Glikkin),Petar-like dual vibroblades,,Hunters of the Outer Rim,,,,,,,,,
Vibrocutlass,Vibro weapon,,Crimson Dawn,,,,,,,,,
Vibrosword,Sword,,Confederacy of Independent Systems,,,,,,,,,
Vice president's house,House,,,,,,,,,"Saludad, Dalna",,
Viceroy's collar,Collar,,Trade Federation,,,,,,,,,
Vicrul's scythe,Vibro-scythe,,Knights of Ren,,,,,,,,,
Victor-wing Fighter,Starfighter,,Crimson Dawn,,,,,,,,,
Victorum,Star Destroyer,,Galactic Empire,,,,,,,,,
Victory-class Star Destroyer,Escort frigate-class Star Destroyer,,Galactic Republic,,,,,,,,,
Viess's army,Mercenary army,,Bethune army (Hired),,,,,,,Gansevor,,
Vigilance (Venator-class),Star Destroyer,,Galactic Republic,,,,,,,,,
Viiveenn's doll,Doll,,Jabba's criminal empire,,,,,,,,,
Vildar Mac's lightsaber,Single-blade,,Jedi Order,,,,,,,,,
