name,type,species,affiliation,gender,pronouns,hair,skin,homeworld,death,location,eyes,class
unidentified heavy freighter,Heavy freighter,,Resistance,,,,,,,,,
unidentified hotel (galator iii),Hotel,,,,,,,,,Galator III,,
unidentified hovertank model,Hovertank,,Hattan,,,,,,,,,
unidentified hutt trawler,Trawler,,Hutt Clan,,,,,,,,,
unidentified immobilizer 418 cruiser,Cruiser,,Galactic Empire,,,,,,,,,
unidentified imperial armada,Armada,,Galactic Empire,,,,,,,,,
unidentified imperial armored vehicle,Repulsorcraft,,Galactic Empire,,,,,,,,,
unidentified imperial base (ansion),Military base,,Galactic Empire,,,,,,,Ansion,,
unidentified imperial base (heist),Military base,,Galactic Empire,,,,,,,,,
unidentified imperial convoy,Convoy,,Galactic Empire,,,,,,,,,
unidentified imperial factory,Weapons factory,,Galactic Empire,,,,,,,,,
unidentified imperial heavy freighter,Heavy freighter,,Galactic Empire,,,,,,,,,
unidentified imperial outpost,Military outpost,,Galactic Empire,,,,,,,,,
unidentified imperial outpost (karaba foothills),Imperial Outpost,,Galactic Empire,,,,,,,"Karaba Foothills, Akiva",,
unidentified imperial outpost (mount selasa),Imperial Outpost,,Galactic Empire,,,,,,,"Mount Selasa, Akiva",,
unidentified imperial outpost (myrra valley),Imperial Outpost,,Galactic Empire,,,,,,,"Myrra Valley, Akiva",,
unidentified imperial repulsorcraft,Repulsorcraft,,Galactic Empire,,,,,,,,,
unidentified imperial transport,Transport,,Galactic Empire,,,,,,,,,
unidentified imperial warehouse,Warehouse,,Galactic Empire,,,,,,,E'ronoh,,
unidentified imperial-class star destroyer (smuggler),Star Destroyer,,Galactic Empire,,,,,,,,,
unidentified incom corporation warehouse,Warehouse,,Incom Corporation,,,,,,,Fresia,,
unidentified inn (plazir-15),Inn,,,,,,,,,Plazir-15,,
unidentified inner rim system fleet,Fleet,,Galactic Empire,,,,,,,Inner Rim Territories,,
unidentified island (cethis),Island,,,,,,,,,Cethis,,
unidentified island (tolis),Island,,,,,,,,,Tolis,,
unidentified jadeite neighborhood,Neighborhood,,,,,,,,,Coruscant,,
unidentified jedi airspeeder,Airspeeder,,Jedi Order,,,,,,,,,
unidentified jedi chamber,Jedi Chamber,,Jedi Order,,,,,,,"Stone Spires, Koboh",,
unidentified jedi compass,Compass,,Jedi Order,,,,,,,,,
unidentified jedi tapestry,Tapestry,,Jedi Order,,,,,,,,,
unidentified jedi task force,Task force,,Galactic Republic,,,,,,,,,
unidentified jedi temple (qi'ra),Jedi temple,,Jedi Order,,,,,,,A planet,,
unidentified kinnawah key hotel,Hotel,,,,,,,,,"Kinnawah Key, Kwenn",,
unidentified leadership academy,Academy,,,,,,,,,Alderaan,,
unidentified library,Library,,,,,,,,,Primus Cabru,,
unidentified lightsaber (gallimere),Single-bladed lightsaber,,Jedi Order,,,,,,,,,
unidentified lightsaber (lanupa),Single-blade,,Tak Rennod's pirates,,,,,,,,,
unidentified longbeam cruiser,Cruiser,,Colony of Kezarat,,,,,,,,,
unidentified lucrehulk-class battleship (pantora),Battleship,,Trade Federation,,,,,,,,,
unidentified lucrehulk-class battleship (ryloth),Battleship,,Trade Federation,,,,,,,,,
unidentified luxury hotel,Hotel,,,,,,,,,Coruscant,,
unidentified luxury rainforest resort,Resort,,,,,,,,,Palagosal,,
unidentified mandalorian blaster rifle,Blaster rifle,,Death Watch,,,,,,,,,
unidentified marketplace,Marketplace,,,,,,,,,An astronomical object,,
unidentified medical frigate,Medical frigate,,Galactic Empire,,,,,,,,,
unidentified medical observation room,Medical room,,Marda Ro's pirate group,,,,,,,Gaze Electric,,
unidentified meditation garden,Meditation garden,,Jedi Order,,,,,,,"Jedi Temple, Coruscant",,
unidentified mining colony (valashar),Mining colony,,,,,,,,,Valashar,,
unidentified minor chiss family,Minor family,Chiss,Chiss Ascendancy,,,,,,,,,
unidentified moisture farm,Moisture farm,,,,,,,,,Tatooine,,
unidentified mon calamari aquatic vehicle,Aquatic vehicle,,Mon Calamari monarchy,,,,,,,,,
unidentified mon calamari cruiser (geist),Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
unidentified mon calamari cruiser (mon cala),Cruiser,,Mon Calamari monarchy,,,,,,,,,
unidentified mon calamari cruiser (sullust system),Cruiser,,Alliance to Restore the Republic,,,,,,,,,
unidentified mon calamari cruiser (yavin's hope),Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
unidentified museum (jedha),Museum,,,,,,,,,Jedha,,
unidentified naboo transport ship,Transport,,Amidalans,,,,,,,,,
unidentified new republic battle group,Battle group,,New Republic,,,,,,,,,
unidentified new republic convoy,Convoy,,New Republic,,,,,,,,,
unidentified new republic droid convoy,Droid-piloted convoy,,New Republic,,,,,,,Zavian Abyss,,
unidentified new republic medical convoy,Medical convoy,,New Republic,,,,,,,,,
unidentified new republic space station,Space station,,New Republic,,,,,,,,,
unidentified new republic squad,Squad,,New Republic,,,,,,,,,
unidentified nightbrother village,Village,,Nightbrothers,,,,,,,"Upper Strangled Cliffs, Dathomir",,
unidentified nihil cloud (drengir),Cloud,,Nihil,,,,,,,,,
unidentified nihil cloud (temerancé),Pirate unit,,Nihil,,,,,,,,,
unidentified nihil hauler,Hauler,,Nihil,,,,,,,,,
unidentified nihil ship,Starship,,Nihil,,,,,,,,,
unidentified nihil ship (adrens),Starship,,Nihil,,,,,,,,,
unidentified nihil shuttle,Shuttle,,Nihil,,,,,,,,,
unidentified nihil team,Team,,Nihil,,,,,,,,,
unidentified nihil warehouse,Warehouse,,Nihil,,,,,,,Occlusion Zone,,
unidentified noodle bar,Bar,,,,,,,,,"Pirate market, Borgo Prime",,
unidentified nu-class attack shuttle (christophsis),Shuttle,,Galactic Republic,,,,,,,,,
unidentified nu-class attack shuttle (coruscant),Shuttle,,Galactic Republic,,,,,,,,,
unidentified orbiting defense platform,Space station,,Galactic Empire,,,,,,,,,
unidentified orbiting merchant-hub station,Space station,,Garwian Unity,,,,,,,,,
unidentified orchard (andraven),Farm,,,,,,,,,Andraven,,
unidentified orchard (dorin),Orchard,,A Kel Dor orchard owner,,,,,,,Dorin,,
unidentified outpost (nihil),Outpost,,,,,,,,,Near Tiikae,,
unidentified outpost (tatooine),Outpost,,,,,,,,,Tatooine,,
unidentified paccosh mining station,Space station,,Paccian Governance,,,,,,,,,
unidentified passenger starliner,Starliner,,Star Liner Travel,,,,,,,,,
unidentified pelta-class frigate,Frigate,,Alliance to Restore the Republic,,,,,,,,,
unidentified pirate camp (mirogana valley),Camp,,,,,,,,,"Mirogana Valley, Toshara",,
unidentified pirate starfighter (draedan pirates),Starfighter,,Draedan pirates,,,,,,,,,
unidentified pirate transport 1,Transport,,Captain Brutus' crew,,,,,,,,,
unidentified pirate transport 2,Transport,,Captain Brutus' crew,,,,,,,,,
unidentified platoon (332nd company),Infantry,,Galactic Republic,,,,,,,,,
unidentified platoon (galactic republic),Infantry/cavalry,,Galactic Republic,,,,,,,Orto Plutonia,,
unidentified platoon (gideon's light cruiser),Infantry,,Gideon's Imperial remnant,,,,,,,,,
unidentified platoon (morak),Infantry,,Morak Imperial remnants,,,,,,,Morak,,
unidentified platoon (nevarro imperial base),Infantry,,Gideon's Imperial remnant,,,,,,,Nevarro,,
unidentified platoon (nevarro),Infantry,,Gideon's Imperial remnant,,,,,,,Nevarro,,
unidentified podracer model,Repulsorcraft,,Hunters of the Outer Rim,,,,,,,,,
unidentified poma-club,Club,,,,,,,,,"Quarrow, Nakadia",,
unidentified port,Spaceport,,,,,,,,,Li'eta,,
unidentified presager coven,Coven,,Presagers of Hakotei,,,,,,,,,
unidentified private landing field,Landing field,,,,,,,,,"Holy City, Jedha",,
unidentified private spacedock,Spacedock,,,,,,,,,Hosnian Prime,,
unidentified providence-class carrier/destroyer (battle of sullust),Dreadnought,,Confederacy of Independent Systems,,,,,,,,,
unidentified pub,Cantina,,,,,,,,,Cato Neimoidia,,
unidentified public house,Public house,,,,,,,,,"A settlement, Dantooine",,
unidentified public shipyard,Shipyard,,,,,,,,,"Eriadu City, Eriadu",,
unidentified quarren submarine,Submarine,,Mon Calamari monarchy,,,,,,,,,
unidentified raider-class corvette,Corvette,,Zahra's raider crew,,,,,,,,,
unidentified ranch,Ranch,,,,,,,,,Koboh,,
unidentified ranch (andraven),Ranch,,,,,,,,,Andraven,,
unidentified rebel alliance starfighter,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
unidentified rebel alliance transport,Transport,,Alliance to Restore the Republic,,,,,,,,,
unidentified rebel capital ship,Capital ship,,Alliance to Restore the Republic,,,,,,,,,
unidentified rebel cell,Cell,,Alliance to Restore the Republic,,,,,,,,,
unidentified rebel cell (sullust),Rebel cell,,Alliance to Restore the Republic,,,,,,,Sullust,,
unidentified rebel insurgency group,Insurgency group,,Alliance to Restore the Republic,,,,,,,,,
unidentified reconnaissance vessel,Scout ship,,New Republic,,,,,,,,,
unidentified region (watervine peach),Region,,Galactic Empire,,,,,,,Watervine peach homeworld,,
unidentified republic command ship,Star Destroyer,,Galactic Republic,,,,,,,,,
unidentified republic defense coalition station,Space station,,Galactic Republic,,,,,,,,,
unidentified republic defense coalition transport,Transport,,Galactic Republic,,,,,,,,,
unidentified republic transport 1,Transport,,Galactic Republic,,,,,,,,,
unidentified reserve fleet,Reserve fleet,,Galactic Republic,,,,,,,,,
unidentified river (tenoo),River,,,,,,,,,Tenoo,,
unidentified sacred jedi text,Book,,Jedi Order,,,,,,,,,
unidentified saloon,Saloon,,,,,,,,,"Mos Eisley, Tatooine",,
unidentified sandcrawler,Sandcrawler,,Jawa tribe,,,,,,,,,
unidentified sandtrooper regiment,Infantry,,Galactic Empire,,,,,,,Tatooine,,
unidentified scav droid factory,Factory,,Nihil,,,,,,,"Syllain District, Coronet City, Corellia",,
unidentified school (birage),School,,,,,,,,,"Birage, Arli's moon",,
unidentified scout trooper squad,Infantry,,Gideon's Imperial remnant,,,,,,,Nevarro,,
unidentified scrapyard (at attin),Junkyard,,,,,,,,,At Attin,,
unidentified separatist bunker,Bunker,,Confederacy of Independent Systems,,,,,,,"Karaba Foothills, Akiva",,
unidentified separatist platoon,Infantry,,Confederacy of Independent Systems,,,,,,,Anaxes,,
unidentified separatist supply ship,Heavy transport starship,,Confederacy of Independent Systems,,,,,,,,,
unidentified settlement (myrra valley),Settlement,,,,,,,,,"Myrra Valley, Akiva",,
unidentified settlement (yarrum),Settlement,,,,,,,,,"Yarrum Desert, Yarrum",,
unidentified sheathipede-class transport shuttle (count dooku's frigate),Shuttle,,Confederacy of Independent Systems,,,,,,,,,
unidentified sheathipede-class transport shuttle (grievous),Shuttle,,Confederacy of Independent Systems,,,,,,,,,
unidentified shuttle (cymoon 1),Shuttle,,Hutt Clan,,,,,,,,,
unidentified shuttle (sith eternal),Shuttle,,Sith EternalFinal Order,,,,,,,,,
unidentified sith book (exegol),Book,,Sith,,,,,,,,,
unidentified sith relic,Sith artifact,,Sith,,,,,,,,,
unidentified sith relief,Sith artifact,,Sith,,,,,,,,,
unidentified soulcraft,Soulcraft,,Pijali monarchy,,,,,,,,,
unidentified spa,Spa,,,,,,,,,Plazir-15,,
unidentified spa (coruscant),Spa,,,,,,,,,"Galactic City, Coruscant",,
unidentified spacedock infirmary,Infirmary,,,,,,,,,Coruscant,,
unidentified spaceport (chandrila),Spaceport,,,,,,,,,Chandrila,,
unidentified spaceport (jafan),Spaceport,,,,,,,,,"A colony, Jafan",,
unidentified spring,Spring,,,,,,,,,Sarumo,,
unidentified squad (41st elite corps),Infantry,,Galactic Republic,,,,,,,Geonosis,,
unidentified squad (gideon's light cruiser),Infantry,,Gideon's Imperial remnant,,,,,,,,,
unidentified star commuter 2000,Shuttle,,Resistance,,,,,,,,,
unidentified star destroyer,Star Destroyer,,Galactic Empire,,,,,,,,,
unidentified starfighter,Starfighter,,Resistance (briefly),,,,,,,,,
unidentified starfighter (scout guards),Starfighter,,Morgan Elsbeth's forces,,,,,,,,,
unidentified stormtrooper squad (starros family homestead),Squad,,Galactic Empire,,,,,,,,,
unidentified stormtrooper squad (tython),Infantry,,Gideon's Imperial remnant,,,,,,,Gideon's light cruiser,,
unidentified supply ship,Supply ship,,Tagge Corporation,,,,,,,,,
unidentified swoop bike model,Repulsorcraft,,Womp Rats Club,,,,,,,,,
unidentified tank battery,Armored,,Galactic Republic,,,,,,,Malastare,,
unidentified tank brigade,Armored,,Galactic Republic,,,,,,,Fervse'dra asteroid belt,,
unidentified tapcafe,Tapcafe,,,,,,,,,Lanz Carpo,,
unidentified tarnab colony,Colony,,,,,,,,,Sriluur,,
unidentified tavern (arkania),Tavern,,,,,,,,,Arkania,,
unidentified tavern (strop's end),Tavern,,,,,,,,,"Strop's End, Teriona",,
unidentified tavern (zeitooine),Tavern,,,,,,,,,Zeitooine,,
unidentified telescopic array,Observatory,,,,,,,,,Observatory Moon,,
unidentified temple (deneba),Temple,,,,,,,,,Deneba,,
unidentified temple (glee anselm),Temple,,,,,,,,,"District 74, Glee Anselm",,
unidentified temple (naratar),Temple,,,,,,,,,Naratar,,
unidentified temple (numidian prime),Temple,,,,,,,,,Numidian Prime,,
unidentified temple (pijal),Temple,,,,,,,,,"Capital city, Pijal",,
unidentified temple (tehar),Temple,,,,,,,,,Tehar,,
unidentified theater,Theater,,,,,,,,,Adelphi,,
unidentified three-engined mon calamari cruiser,Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
unidentified three-pronged mon calamari cruiser,Star Cruiser,,Mon Calamari monarchy,,,,,,,,,
unidentified tourist multiplex,Hotel,,,,,,,,,"A hub, Ryloth",,
unidentified trading post (rex strata),Trading post,,,,,,,,,Rex Strata,,
unidentified train station,Train station,,,,,,,,,Tenoo,,
unidentified transport (path of the open hand),Transport,,Path of the Open Hand,,,,,,,,,
unidentified transport (surat nuat),Transport,,Surat Nuat's gang,,,,,,,,,
unidentified transport shuttle,Shuttle,,Alliance to Restore the Republic,,,,,,,,,
unidentified transport shuttle (ringo vinda),Transport shuttle,,Galactic Republic,,,,,,,,,
unidentified ugnaught workshop (plazir-15),Workshop,,Plazir-15's government,,,,,,,"Peacekeeping zone, Plazir-15",,
unidentified underground prison,Storm bunker,,City council,,,,,,,Valo,,
unidentified urn,Urn,,Galactic Empire,,,,,,,,,
unidentified v-wing variant,Starfighter,,Galactic Republic,,,,,,,,,
unidentified venator-class star destroyer (clone force 99),Star Destroyer,,Galactic Republic,,,,,,,,,
unidentified venator-class star destroyer (rugosa),Star Destroyer,,Galactic Republic,,,,,,,,,
unidentified venator-class star destroyer (zeffo),Star Destroyer,,Galactic Republic,,,,,,,,,
unidentified vorah key nightclub,Nightclub,,,,,,,,,"Vorah Key, Kwenn",,
unidentified vulture droid variant,Droid starfighter,,Confederacy of Independent Systems,,,,,,,,,
unidentified warehouse (valo),Warehouse,,Nihil,,,,,,,Valo,,
unidentified watervine peach homeworld,Homeworld,,Galactic Empire,,,,,,,A region,,
unidentified way station,Way station,,,,,,,,,Bardotta,,
unidentified western reaches exchange banking ship,Transport,,Western Reaches Exchange,,,,,,,,,
unidentified windfarm (lost steppe),Windfarm,,,,,,,,,"The Lost Steppe, Toshara",,
unidentified windfarm (mirogana valley),Windfarm,,,,,,,,,"Mirogana Valley, Toshara",,
unidentified yt-2400 light freighter (clan markona),Light freighter,,Alliance to Restore the Republic,,,,,,,,,
unidentified zeta-class heavy cargo shuttle,Shuttle,,Galactic Empire,,,,,,,,,
uniformed branch,Police force,,Canto Bight Police Department,,,,,,,,,
unit aurek,Cadet unit,,Galactic Empire,,,,,,,,,
unit besh,Cadet unit,,Galactic Empire,,,,,,,,,
unit cresh,Cadet unit,,Galactic Empire,,,,,,,,,
unit dorn,Cadet unit,,Galactic Empire,,,,,,,,,
unit esk,Cadet unit,,Galactic Empire,,,,,,,,,
unit five-two night shift,Labor unit,,Galactic Empire,,,,,,,,,
unit five-two-d,Labor unit,,Galactic Empire,,,,,,,,,
unit forn,Cadet unit,,Galactic Empire,,,,,,,,,
unit ti-23,Special forces,,Galactic Empire,,,,,,,,,
unit two-five,Labor unit,,Galactic Empire,,,,,,,,,
universal port,Space-to-space station docking port,,Paccian Governance,,,,,,,,,
university of alderaan,University,,,,,,,,,"Aldera, Alderaan",,
university of byblos,University,,,,,,,,,Byblos,,
university of coruscant,University,,,,,,,,,Coruscant,,
unknown regions imperial remnant,Imperial Remnant,,Imperial Remnants,,,,,,,,,
unpermitted windfishing skiff,Skiff,,,,,,,,,"The Grazing Fields, Toshara",,
unyielding,Star Destroyer,,Galactic Empire,,,,,,,,,
upper foredeck lounge,Lounge,,,,,,,,,Morenia,,
uprising,Resistance movement,,Alliance to Restore the Republic,,,,,,,Bespin,,
urban guerrillas,Special forces,,Alliance to Restore the Republic,,,,,,,,,
urch planetary and space control,Planetary and space traffic control,,Tower Dimension,,,,,,,,,
urrqal,Alcoholic beverage,,Unidentified bar,,,,,,,,,
ursa wren's hair clip,Clothing,,House Vizsla,,,,,,,,,
urtya's guards,Guards,,Mon Calamari monarchy,,,,,,,Mon Cala,,
ushar's war club,War club,,First Order,,,,,,,,,
utapau skyforce,Planetary defense force,,Utapaun Committee,,,,,,,Utapau,,
utooni,Team of Jawas,,Hunters of the Outer Rim,,,,,,,,,
uveron city security,Security force,,Uveron City,,,,,,,"Uveron City, Uveron",,
v-19 test squadron,Experimental unit,,Galactic Republic,,,,,,,,,
v-484,Freighter,,Chiss Ascendancy,,,,,,,,,
v-92 tine hunter,Starfighter,,Crimson Dawn,,,,,,,,,
vader's castle,Battlefield,,Hunters of the Outer Rim,,,,,,,"Grand Arena, Vespaara",,
vader's shuttle (mission to ryloth),Shuttle,,Galactic Empire,,,,,,,,,
vader's throne room,Throne room,,Sith,,,,,,,"Fortress Vader, Mustafar",,
vader's wayfinder,Sith wayfinder,,Sith Order,,,,,,,,,
vagaari pod,Pod,,Vagaari,,,,,,,,,
vagrant's camp,Camp,,,,,,,,,"Grazing Fields, Toshara",,
vak art gallery,Art gallery,,Vak Combine,,,,,,,Primea,,
vak combine,Military junta,,Nikardun Destiny,,,,,,,,,
vak warship,Warship,,Vak Combine,,,,,,,,,
valco pandion's fleet,Fleet,,Galactic Empire,,,,,,,,,
valcyn,Cruiser,,Sith,,,,,,,,,
valiant,Longbeam cruiser,,Galactic Republic,,,,,,,,,
valin hess's division,Infantry,,Galactic Empire,,,,,,,Burnin Konn,,
valken-38 blaster rifle,Sniper rifle,,Galactic Republic,,,,,,,,,
valkyrie 2929 (laat/i),Gunship,,Galactic Republic,,,,,,,,,
vallt's government,Monarchy,,Confederacy of Independent Systems,,,,,,,,,
valo jedi temple,Jedi temple,,Jedi Order,,,,,,,"Lonisa City, Valo",,
valo younglings hideout,Hideout,,Jedi Order,,,,,,,"Lonisa City Zoo, Lonisa City, Valo",,
valor (space station),Space station,,Galactic Republic,,,,,,,,,
valorum's shuttle,Shuttle,,Galactic Republic,,,,,,,,,
vambrace armor,Specialized Stormtrooper armor,,Galactic Empire,,,,,,,,,
vandor division,Infantry,,Galactic Empire,,,,,,,Vandor,,
vanguard axis,Criminal cartel,,Droid Gotra (loosely),,,,,,,,,
vanguard of the fifth fleet,Fleet group,,Galactic Republic,,,,,,,,,
vapetailers unit,Special forces,,Alliance to Restore the Republic,,,,,,,,,
var-shaa dockyard,Imperial dockyard,,Galactic Empire,,,,,,,,,
variax shipyard,Shipyard,,Variax security,,,,,,,Variax,,
vark tarpalin's mansion,Mansion,,Nihil,,,,,,,"Lonisa City, Valo",,
vark tarpalin's office,Office,,Nihil,,,,,,,"City hall, Lonisa City, Valo",,
varl circuit,Podracing circuit,,,,,,,,,Moons of Varl,,
vault security contingent,Security,,Galactic Empire,,,,,,,"Imperial security complex, Scarif",,
vector,Cruiser,,Galactic Empire,,,,,,,,,
vectored cannon,Laser cannon,,Alliance to Restore the Republic,,,,,,,,,
veelo docks,Refinery,,,,,,,,,Veelo,,
vehement,Star Destroyer,,Galactic Empire,,,,,,,,,
veiled sorority,Pirate group,,,,,,,,,Outer Rim Territories,,
vel sartha's camp,Camp,,A rebel infiltration team,,,,,,,Aldhani,,
velko jahen's platoon,Platoon,,Gagic Alliance,,,,,,,,,
vellus,Transport,,Alliance to Restore the Republic,,,,,,,,,
venator i-class star destroyer,Star Destroyer,,Galactic Republic,,,,,,,,,
venator ii-class star destroyer,Star Destroyer,,Galactic Republic,,,,,,,,,
vence spire,Tower,,,,,,,,,"Aldera, Alderaan",,
vengeance,Star Destroyer,,Galactic Empire,,,,,,,,,
venisa doza's x-wing,Starfighter,,Resistance,,,,,,,,,
venisa's helmet,Flight helmet,,Resistance,,,,,,,,,
vensenor,Star Destroyer,,Galactic Empire,,,,,,,,,
venture (freighter),Freighter,,Gozetta,,,,,,,,,
venturous,Man-of-war,,Chiss Ascendancy,,,,,,,,,
vera beroya's mythosaur axe,Mythosaur axe,,Clan Awaud,,,,,,,,,
verazeen stones,Cuboid-shaped dice,,Cabarka Union,,,,,,,,,
verdigris hills,Hills,,,,,,,,,Elphrona,,
veris hydan's guard,Special forces,,Galactic Empire,,,,,,,Lothal,,
vermin-thrax,Bulk freighter,,Garnac's hunting guild,,,,,,,,,
vernestra rwoh's purple-bladed lightsaber,Combination single-bladed lightsaber and lightwhip,,Jedi Order,,,,,,,,,
verzan garrison,Garrison,,Galactic Empire,,,,,,,Verzan,,
vespaara row,Civilian district,,Hunters of the Outer Rim,,,,,,,Vespaara,,
vespaara starport,Spaceport,,,,,,,,,Vespaara,,
vessel,Transport,,Byne Guild,,,,,,,,,
veteran blaster,Heavy blaster pistol,,Alliance to Restore the Republic,,,,,,,,,
veteran services,Department,,Galactic Empire,,,,,,,,,
vetna mooncrest's lightsaber,Single-blade,,Jedi Order,,,,,,,,,
vi moradi's baton,Tactical baton,,Resistance,,,,,,,,,
vibro-arbir blade,Melee weapon,,Shadow Council,,,,,,,,,
vibro-lance,Melee weapon,,Jabba Desilijic Tiure's criminal empire,,,,,,,,,
vibro-scythe,Vibro weapon,,Knights of Ren,,,,,,,,,
vibro-star,Vibro weapon,,Nihil,,,,,,,,,
vibro-stiletto,Vibro weapon,,Fett gotra,,,,,,,,,
vibro-voulge,Melee weapon,,First Order,,,,,,,,,
vibrobayonet,Vibro weapon,,Galactic Republic,,,,,,,,,
vibroblade brigade,Mercenary unit,,Corporate Alliance (hired),,,,,,,,,
vibroblades (glikkin),Petar-like dual vibroblades,,Hunters of the Outer Rim,,,,,,,,,
vibrocutlass,Vibro weapon,,Crimson Dawn,,,,,,,,,
vibrosword,Sword,,Confederacy of Independent Systems,,,,,,,,,
vice president's house,House,,,,,,,,,"Saludad, Dalna",,
viceroy's collar,Collar,,Trade Federation,,,,,,,,,
vicrul's scythe,Vibro-scythe,,Knights of Ren,,,,,,,,,
victor-wing fighter,Starfighter,,Crimson Dawn,,,,,,,,,
victorum,Star Destroyer,,Galactic Empire,,,,,,,,,
victory-class star destroyer,Escort frigate-class Star Destroyer,,Galactic Republic,,,,,,,,,
viess's army,Mercenary army,,Bethune army (Hired),,,,,,,Gansevor,,
vigilance (venator-class),Star Destroyer,,Galactic Republic,,,,,,,,,
viiveenn's doll,Doll,,Jabba's criminal empire,,,,,,,,,
vildar mac's lightsaber,Single-blade,,Jedi Order,,,,,,,,,
vin-vin's wheelhouse,Bar,,,,,,,,,"New Xaxxis, Metagos",,
vindicator-class heavy cruiser,Heavy cruiser,,Galactic Empire,,,,,,,,,
vine matron,Patron saint,,,Female,,,,,,,,
vintian mineral mousse,Dessert,,Docking Bay 7 Food and Cargo,,,,,,,,,
violarza,Club,,,,,,,,,Seswenna City,,
violet,Freighter,,Alliance to Restore the Republic,,,,,,,,,
violet e-web,Heavy repeating blaster,,Galactic Empire,,,,,,,,,
violet trooper,Stormtrooper armor,,Galactic Empire,,,,,,,,,
vipers,Mercenary group,,Confederacy of Independent Systems,,,,,,,,,
viral bomb,Bomb,,Confederacy of Independent Systems,,,,,,,,,
virgillian free alignment,Resistance movement,,Alliance to Restore the Republic,,,,,,,,,
virujansi garrison,Garrison,,Galactic Empire,,,,,,,Virujansi,,
viscid bog,Swamp,,,,,,,,,Koboh,,
vitiator,Star Destroyer,,Galactic Empire,,,,,,,,,
viv'nia's training lightsaber,Training lightsaber,,Jedi Order,,,,,,,,,
vivan cargo ship,Freighter,,Chiss Ascendancy,,,,,,,,,
vix fonnick's lightsaber,Single-bladed lightsaber,,Jedi Order,,,,,,,,,
vlemoth port battalion,Infantry,,Old Mandalorians,,,,,,,Vlemoth Port,,
voe's lightsaber,Single-blade,,Jedi Order,,,,,,,,,
volcanic environment stormtrooper,Specialized stormtrooper variant,,Galactic Empire,,,,,,,,,
vorah key,Island,,,,,,,,,"Windward Chain, Gem Cities of Kwenn",,
vorashian sea,Sea,,,,,,,,,Hosnian Prime,,
vortex detonator,Explosive,,Galactic Empire,,,,,,,,,
voyager dawn,Cruiser,,Jedi Order,,,,,,,,,
vranki's hotel and casino,Space station,,Vranki the Blue,,,,,,,,,
vrogas vas company,Infantry,,Alliance to Restore the Republic,,,,,,,,,
vroma's home,Home,,,,,,,,,Hon-Tallos,,
vt-327 transport bus,Speeder bus,,Vespaara Tours,,,,,,,,,
vueve clicquot,Wine,,Crown of Corellia Dining Room,,,,,,,,,
vulpinus nebula imperial fleet,Fleet,,Galactic Empire,,,,,,,Vulpinus Nebula,,
vuutun palaa,Battleship,,Trade Federation,,,,,,,,,
vz-114,Star Destroyer,,Galactic Empire,,,,,,,,,
walkie talkie,Comlink,,Skeleton Crew,,,,,,,,,
wan sandage's podracer,Podracer,,Wan Sandage,,,,,,,,,
wan-shen,Ax,,Matukai,,,,,,,,,
wandering star,Criminal syndicate,,Crymorah Syndicate,,,,,,,,,
war cloud,Weaponized gas,,Nihil,,,,,,,,,
war council advisory panel,Advisory council,,Galactic Republic,,,,,,,,,
war cruiser,Cruiser,,Son-tuul Pride,,,,,,,,,
war faction,Political faction,,Confederacy of Independent Systems,,,,,,,,,
war-faith,Military,,Kingdom of Shu-Torun,,,,,,,Shu-Torun,,
warbird gang,Pirate gang,,First Order,,,,,,,,,
warbird starfighter,Starfighter,,Warbird gang,,,,,,,,,
warblade squad,Aerial infantry,,Sith Eternal,,,,,,,,,
warlord e-web,Heavy repeating blaster,,Galactic Empire,,,,,,,,,
wartaki islands,Island group,,,,,,,,,Kashyyyk,,
watchtower (troop ship),Shuttle,,Galactic Empire,,,,,,,,,
watith gunboat,Gunboat,,Fsir,,,,,,,,,
waveskimmer,Surface ship,,Galactic Empire,,,,,,,,,
waxer's platoon,Infantry,,Galactic Republic,,,,,,,Umbara,,
way of clarity,Shuttle,,Path of the Open Hand,,,,,,,,,
wayfar cantina,Cantina,,,,,,,,,"Wayfar, Tatooine",,
we-11 blaster pistol,Blaster pistol,,Hidden Path,,,,,,,,,
weather balloon,Balloon,,Jedi Order,,,,,,,,,
wedge antilles' x-wing,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
weebo's farm,Farm,,Weebo,,,,,,,Tenoo,,
weequay blaster lance,Blaster rifle,,Ohnaka Gang,,,,,,,,,
weequay blaster pistol,Blaster pistol,,Hutt Clan,,,,,,,,,
weik greatsword,Melee weapon,,Weik,,,,,,,,,
wellness district,District,,,,,,,,,"Galactic City, Coruscant",,
wes vinik's lightsaber,Single-bladed lightsaber,,Jedi Order,,,,,,,,,
west hall,Hall,,,,,,,,,"Cloud City, Bespin",,
west team,Security,,Preox-Morlana,,,,,,,Ferrix,,
western provinces,Region,,,,,,,,,Naboo,,
westhill cliffs,Cliffs,,Galactic Empire,,,,,,,"Canto Bight, Cantonica",,
westhill palace,Mansion,,Galactic Empire (secretly),,,,,,,"Westhill cliffs, Canto Bight, Cantonica",,
westwind,Shuttle,,Jedi Order,,,,,,,,,
